0, -45, -47, -54, -60, -64, -62, -76, -63, -64, -62, -67, -68, -64, -62, -71, -60, -68, -66, -66, -70, -79, -56, -54, -70, -57, -51, -47, -41, 10, 47, 8
1, -43, -45, -47, -57, -56, -58, -58, -66, -76, -74, -66, -62, -63, -68, -68, -60, -77, -56, -60, -69, -69, -70, -75, -74, -82, -70, -62, -44, 10, 47, 8
2, -54, -52, -45, -56, -58, -58, -62, -64, -69, -72, -63, -62, -59, -71, -75, -78, -68, -62, -64, -67, -70, -66, -62, -66, -83, -57, -55, -53, 10, 47, 8
3, -55, -59, -53, -45, -51, -57, -60, -68, -66, -60, -60, -61, -58, -58, -62, -64, -66, -60, -64, -68, -63, -62, -72, -74, -65, -58, -56, -53, 10, 47, 8
4, -60, -56, -56, -51, -45, -45, -56, -60, -75, -58, -54, -55, -53, -54, -61, -62, -56, -56, -68, -54, -62, -64, -60, -59, -58, -65, -52, -55, 10, 47, 8
5, -62, -63, -58, -59, -49, -45, -58, -59, -56, -53, -57, -54, -60, -56, -62, -70, -60, -63, -68, -66, -67, -70, -64, -60, -62, -62, -54, -60, 10, 47, 8
6, -75, -58, -62, -62, -54, -57, -45, -44, -51, -48, -54, -59, -55, -55, -58, -60, -60, -58, -64, -64, -65, -71, -63, -64, -54, -60, -64, -60, 10, 47, 8
7, -62, -68, -62, -70, -64, -54, -43, -45, -49, -60, -60, -73, -74, -75, -70, -70, -63, -64, -74, -62, -71, -68, -62, -61, -60, -76, -56, -59, 10, 47, 8
8, -64, -80, -69, -67, -80, -54, -51, -53, -45, -62, -78, -64, -64, -84, -71, -74, -74, -66, -60, -64, -65, -69, -68, -60, -63, -66, -69, -60, 10, 47, 8
9, -60, -78, -70, -60, -56, -48, -47, -59, -62, -45, -53, -54, -62, -67, -63, -73, -66, -73, -58, -54, -62, -64, -64, -62, -62, -60, -60, -58, 10, 47, 8
10, -64, -66, -58, -55, -55, -53, -55, -54, -77, -51, -45, -53, -56, -60, -62, -67, -59, -58, -59, -55, -56, -62, -58, -55, -61, -59, -56, -65, 10, 47, 8
11, -67, -65, -61, -62, -54, -55, -59, -71, -65, -56, -56, -45, -55, -54, -57, -68, -56, -58, -59, -58, -58, -59, -59, -61, -68, -59, -60, -66, 10, 47, 8
12, -62, -66, -58, -55, -56, -55, -58, -74, -64, -61, -61, -54, -45, -51, -54, -64, -54, -53, -55, -59, -56, -56, -63, -64, -68, -69, -59, -64, 10, 47, 8
13, -61, -72, -70, -56, -54, -54, -58, -76, -84, -68, -63, -54, -51, -45, -41, -53, -55, -52, -57, -59, -60, -56, -62, -66, -76, -73, -68, -67, 10, 47, 8
14, -67, -68, -71, -62, -62, -55, -59, -67, -68, -62, -62, -55, -58, -39, -45, -44, -52, -56, -67, -60, -58, -59, -62, -62, -66, -66, -79, -66, 10, 47, 8
15, -59, -60, -76, -64, -62, -65, -55, -67, -74, -72, -68, -66, -62, -50, -44, -45, -54, -57, -60, -58, -66, -76, -55, -61, -61, -61, -68, -57, 10, 47, 8
16, -66, -79, -66, -68, -58, -55, -60, -63, -74, -67, -62, -58, -53, -53, -53, -55, -45, -45, -52, -56, -56, -55, -76, -62, -66, -60, -61, -64, 10, 47, 8
17, -65, -61, -61, -62, -55, -61, -58, -63, -66, -74, -62, -54, -55, -54, -61, -54, -46, -45, -59, -55, -71, -62, -60, -75, -60, -54, -58, -60, 10, 47, 8
18, -65, -62, -63, -64, -71, -65, -64, -73, -60, -60, -60, -58, -54, -56, -69, -62, -53, -58, -45, -53, -60, -54, -67, -55, -59, -62, -54, -63, 10, 47, 8
19, -66, -70, -64, -68, -54, -62, -62, -60, -61, -58, -57, -58, -55, -58, -60, -57, -55, -52, -53, -45, -50, -49, -58, -59, -55, -57, -55, -60, 10, 47, 8
20, -75, -68, -67, -62, -63, -62, -62, -69, -62, -60, -58, -57, -58, -59, -56, -65, -54, -68, -55, -49, -45, -41, -58, -59, -55, -58, -57, -59, 10, 47, 8
21, -54, -74, -65, -64, -67, -68, -71, -68, -68, -66, -64, -58, -60, -55, -61, -79, -55, -61, -55, -51, -43, -45, -46, -58, -64, -60, -58, -64, 10, 47, 8
22, -49, -74, -58, -70, -60, -58, -60, -59, -64, -61, -58, -57, -60, -58, -60, -54, -72, -58, -63, -58, -56, -43, -45, -45, -50, -45, -53, -58, 10, 47, 8
23, -68, -76, -64, -74, -54, -58, -63, -60, -58, -62, -60, -60, -64, -64, -64, -62, -61, -71, -54, -54, -55, -57, -47, -45, -51, -51, -56, -66, 10, 47, 8
24, -55, -83, -81, -66, -60, -56, -54, -58, -62, -62, -63, -66, -67, -76, -67, -63, -66, -58, -58, -56, -57, -62, -52, -49, -45, -49, -52, -62, 10, 47, 8
25, -45, -70, -57, -60, -65, -54, -55, -71, -63, -55, -54, -58, -66, -70, -66, -59, -55, -55, -59, -57, -58, -54, -46, -50, -45, -45, -45, -52, 10, 47, 8
26, -46, -63, -53, -55, -55, -55, -64, -55, -68, -61, -55, -58, -60, -66, -78, -69, -61, -56, -59, -60, -56, -58, -56, -59, -51, -48, -45, -45, 10, 47, 8
27, -39, -46, -52, -55, -57, -54, -60, -58, -59, -59, -68, -66, -63, -66, -68, -59, -64, -59, -62, -62, -58, -62, -61, -66, -62, -54, -44, -45, 10, 47, 8
